model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T21:32:00.203956Z,2XZDRM5,0.333333,426.269,0.681782
openai/gpt-5.5,codex,xhigh,2026-06-02T21:22:52.615370Z,6T74UUX,1.000000,443.394,1.391819
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T21:22:51.972553Z,E6AASme,0.333333,420.959,1.066218
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T21:31:01.810706Z,HJf7Kg7,0.416667,667.885,1.108999
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T21:37:44.025583Z,KPXwtpi,0.307692,534.832,0.881576
openai/gpt-5.4,codex,xhigh,2026-06-02T21:31:32.720760Z,Kmjucex,0.333333,477.976,0.948600
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T21:33:48.099359Z,LBndPkr,0.307692,413.713,1.220236
openai/gpt-5.4,codex,xhigh,2026-06-02T21:22:52.577392Z,LcVLUo5,0.333333,383.794,0.426540
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T21:37:07.101417Z,MdJbzf3,0.333333,368.516,0.951141
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T21:43:01.777335Z,MrsxH5R,0.333333,393.521,0.651115
openai/gpt-5.4,codex,xhigh,2026-06-02T21:22:52.624530Z,PRXdwYU,0.312500,1036.623,2.110254
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T21:39:30.700589Z,RvWjRGk,0.333333,257.851,0.339869
openai/gpt-5.4,codex,xhigh,2026-06-02T21:39:06.476712Z,U9oVvVu,0.210526,665.696,2.236046
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T21:43:15.621764Z,UQYQYNR,0.333333,355.471,1.051855
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T21:40:09.257125Z,cuXNufC,,172.517,0.223845
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T21:29:16.374674Z,dSz9275,0.478261,507.647,1.032147
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T21:30:16.016263Z,dVRYB9n,1.000000,598.844,1.697903
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T21:40:14.865749Z,dymrBnD,0.333333,437.400,1.272741
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T21:22:52.593008Z,eKc2igt,0.190476,489.213,1.352108
openai/gpt-5.5,codex,xhigh,2026-06-02T21:31:17.523642Z,eaa7wF4,0.285714,446.209,1.842189
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T21:29:52.935052Z,fXefWHU,0.333333,434.163,1.247781
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T21:22:52.559917Z,gG8q76Z,0.266667,1084.797,1.862345
openai/gpt-5.5,codex,xhigh,2026-06-02T21:38:43.736487Z,io3HDX7,0.333333,377.400,1.136679
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T21:22:52.606825Z,j56WdeG,0.916667,504.913,1.810319
openai/gpt-5.4,codex,xhigh,2026-06-02T21:42:09.699230Z,qW3Pz67,0.333333,444.984,0.726321
openai/gpt-5.5,codex,xhigh,2026-06-02T21:22:52.569670Z,sUmSjaY,1.000000,655.526,2.795257
openai/gpt-5.5,codex,xhigh,2026-06-02T21:40:57.365093Z,sdHP3Js,0.333333,388.278,1.136805
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T21:40:41.816042Z,uArQbq7,0.437500,556.555,0.939479
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T21:22:52.585595Z,uPWdMJh,0.166667,520.129,0.887601
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T21:22:52.599083Z,upLd8ab,1.000000,547.601,1.283526
