model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.4,codex,xhigh,2026-06-02T21:55:20.716565Z,33Hsadq,0.555556,1006.411,2.700873
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T21:55:20.679445Z,33fYxra,0.526316,485.084,0.696914
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T22:03:25.766707Z,5BZoLzX,0.526316,424.082,0.889156
openai/gpt-5.5,codex,xhigh,2026-06-02T22:05:15.087664Z,6uMbfmD,0.689655,552.299,1.986975
openai/gpt-5.4,codex,xhigh,2026-06-02T21:55:20.673080Z,7okVrx5,0.629630,814.636,2.661917
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T22:12:07.131120Z,88ERan5,0.120879,571.118,1.400575
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T22:13:17.645437Z,GNVXZ9o,0.740741,1204.273,3.646746
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T21:55:20.698189Z,LJUYgQ9,0.740741,1116.900,3.462599
openai/gpt-5.4,codex,xhigh,2026-06-02T22:08:55.312446Z,LQ7d5WG,0.645161,1340.718,3.251102
openai/gpt-5.5,codex,xhigh,2026-06-02T21:55:20.710202Z,ScMiW8h,0.740741,558.718,1.936152
openai/gpt-5.5,codex,xhigh,2026-06-02T22:14:27.391550Z,UbWwPD6,0.689655,642.698,2.103060
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T22:00:25.923353Z,Y234BFc,0.629630,771.719,0.877935
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T22:10:29.852087Z,Y6utmF9,0.526316,389.021,0.770593
openai/gpt-5.5,codex,xhigh,2026-06-02T22:21:38.253186Z,ajTonDf,0.740741,596.177,1.804821
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T21:55:20.147203Z,cRUZeLh,0.740741,1312.281,4.474447
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T22:17:39.670465Z,dom2jJn,0.120879,443.349,0.935864
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T22:19:35.602519Z,eJtnv3F,0.500000,1010.507,1.232437
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T22:13:57.604279Z,gzzEfQJ,0.120879,262.400,0.439861
openai/gpt-5.5,codex,xhigh,2026-06-02T21:55:20.664467Z,jgyZwLH,0.740741,594.420,1.438944
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T22:04:01.436326Z,mz6vFCM,0.869565,2317.946,9.376781
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T21:55:20.689071Z,nDnngoT,0.526316,520.744,1.189530
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T21:55:20.703960Z,pHxXGRw,0.625000,1338.962,1.870933
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T21:55:20.657669Z,pQQceEP,0.120879,305.262,0.405712
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T22:18:20.008922Z,qiEgJHJ,0.740741,1815.905,6.048292
openai/gpt-5.4,codex,xhigh,2026-06-02T22:25:03.024012Z,rhynWHT,0.540541,662.160,1.780409
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T22:25:10.095092Z,sJPeSrP,0.526316,493.952,0.930596
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T22:26:56.292357Z,svKjMY5,0.526316,688.253,1.398564
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T22:17:12.433075Z,ug7UCRb,0.689655,583.856,1.092094
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T22:04:39.433024Z,zCJGBda,0.526316,896.166,1.272695
openai/gpt-5.4,codex,xhigh,2026-06-02T22:16:58.876104Z,zGtPHVR,0.739130,970.262,3.158434
deepseek/deepseek-reasoner,opencode,high,2026-06-09T21:35:26.642761Z,2PvjUPi,0.444444,524.962,0.058692
deepseek/deepseek-reasoner,opencode,high,2026-06-09T21:35:27.113006Z,3r3dCvK,0.120879,246.009,0.041601
deepseek/deepseek-reasoner,opencode,high,2026-06-09T21:35:27.132399Z,PR5KrZy,0.304348,530.862,0.067395
deepseek/deepseek-reasoner,opencode,high,2026-06-09T21:35:27.125720Z,WGShvHE,0.120879,314.669,0.050581
deepseek/deepseek-reasoner,opencode,high,2026-06-09T21:35:27.119315Z,fiY9Ngj,0.293103,509.557,0.058920
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T10:30:38.264764Z,7kJGNcA,0.869565,1275.241,7.864396
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T10:30:38.738557Z,89bGSxV,0.869565,1066.553,5.713412
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T10:30:38.732361Z,CBqVrou,0.740741,1151.545,6.082535
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T10:30:38.756491Z,r3UgwMc,0.645161,1087.133,5.583146
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T10:30:38.744571Z,rVSpZgr,0.540541,1131.936,5.809127
