model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T22:53:28.241805Z,3oN2G5o,0.000000,447.013,0.603294
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T23:03:46.401383Z,5BVjXKN,0.055556,639.231,1.017986
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T23:19:26.540192Z,6AYQrxb,0.000000,350.855,0.451240
openai/gpt-5.4,codex,xhigh,2026-06-02T23:05:27.325892Z,6NA9dKd,0.608696,576.092,0.988319
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T22:59:45.199507Z,6oVMsKi,0.000000,479.339,0.920961
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T23:23:38.018968Z,8TKsbyk,0.320000,412.155,0.783167
openai/gpt-5.5,codex,xhigh,2026-06-02T22:53:28.250403Z,9fV4Nrz,0.666667,864.302,2.645031
openai/gpt-5.5,codex,xhigh,2026-06-02T23:13:45.644440Z,BJ39cFt,0.521739,718.900,2.072575
openai/gpt-5.4,codex,xhigh,2026-06-02T22:53:28.257769Z,BbgcokD,0.478261,1131.808,2.466700
openai/gpt-5.5,codex,xhigh,2026-06-02T23:20:13.841840Z,BjV9XCS,1.000000,715.039,2.147152
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T22:53:28.270677Z,CkX7Hve,0.031250,522.030,1.263208
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T23:09:49.540965Z,DbigSFW,0.900000,1364.510,3.780308
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T22:53:28.264089Z,DekKgQx,0.000000,618.134,1.125050
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T23:02:10.304183Z,EYRzUzQ,0.357143,1315.625,4.410560
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T22:53:28.283179Z,EsqPtAS,0.523810,376.913,0.453156
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T23:00:55.257631Z,HaFcmae,0.333333,534.280,1.964666
openai/gpt-5.4,codex,xhigh,2026-06-02T22:53:28.298936Z,JwnHicD,0.523810,696.032,1.088686
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T23:07:44.541890Z,Sab86cg,0.000000,434.400,0.691449
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T23:15:03.423042Z,XhgcNYN,0.842105,635.975,2.191918
openai/gpt-5.5,codex,xhigh,2026-06-02T22:53:28.289961Z,fp82ip6,,719.032,1.662780
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T23:24:05.933073Z,igt3SaX,0.000000,664.586,2.301673
openai/gpt-5.4,codex,xhigh,2026-06-02T23:23:06.371663Z,km4dyj2,0.727273,601.663,0.860241
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T23:12:20.069174Z,nbySPBQ,0.043919,221.141,0.303806
openai/gpt-5.5,codex,xhigh,2026-06-02T23:05:04.334831Z,oQULMYj,0.619048,521.306,1.508504
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T23:14:58.944574Z,qagjs5f,0.350000,519.070,0.948740
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T22:53:28.276898Z,rLVKaZS,0.444444,1778.092,4.556323
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T23:07:52.557372Z,rLXYR4h,0.450000,741.281,1.783052
openai/gpt-5.4,codex,xhigh,2026-06-02T23:14:25.636568Z,vbJcBMX,0.652174,702.826,1.473550
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T23:16:01.213878Z,vmNhAW3,0.695652,1708.869,5.326488
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T22:53:27.669201Z,zbNYGfr,1.000000,1558.868,5.269072
deepseek/deepseek-reasoner,opencode,high,2026-06-09T19:45:06.691375Z,9zSS3cL,0.300000,469.943,0.013393
deepseek/deepseek-reasoner,opencode,high,2026-06-09T19:45:06.183130Z,HyBfHAw,0.277778,308.340,0.010852
deepseek/deepseek-reasoner,opencode,high,2026-06-09T19:45:06.670072Z,Soe2oSf,0.307692,531.734,0.013408
deepseek/deepseek-reasoner,opencode,high,2026-06-09T19:45:06.677880Z,q8V8zFe,0.047445,689.866,0.051081
deepseek/deepseek-reasoner,opencode,high,2026-06-09T19:45:06.684640Z,yMNZSyG,0.000000,609.123,0.019519
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T11:35:40.245852Z,FW8wpQr,1.000000,839.690,3.709327
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T11:35:40.239398Z,FpxTvS6,0.782609,1260.523,7.033498
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T11:35:40.258950Z,LtT9o9G,1.000000,715.174,3.820063
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T11:35:39.794169Z,nm6uuFx,1.000000,1162.693,5.242815
anthropic/claude-fable-5,claude-code,xhigh,2026-06-11T11:35:40.252391Z,pC4kpAb,0.900000,783.129,4.471442
