model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T20:00:46.651443Z,2UGs9uW,1.000000,545.785,1.009342
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T19:43:14.289291Z,4wUEYEE,1.000000,390.780,1.046283
openai/gpt-5.5,codex,xhigh,2026-06-02T20:06:27.173593Z,8yumau3,1.000000,928.574,2.059354
openai/gpt-5.4,codex,xhigh,2026-06-02T19:36:14.557378Z,BQaFzcq,0.333333,1805.878,3.228319
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T19:36:14.571395Z,D2pFEe7,0.000000,779.843,2.061604
openai/gpt-5.5,codex,xhigh,2026-06-02T19:54:59.387266Z,ELCx7wy,1.000000,851.946,2.192186
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T20:00:12.889459Z,G39jCha,1.000000,1116.314,1.239348
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T19:47:05.528841Z,Kp7XHqd,0.833333,250.160,0.375345
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T20:01:23.392958Z,NiyJtEP,1.000000,834.941,2.428928
openai/gpt-5.5,codex,xhigh,2026-06-02T19:36:14.551438Z,QyKaGX7,1.000000,978.978,2.572554
openai/gpt-5.4,codex,xhigh,2026-06-02T19:59:52.774415Z,TDcz7Qr,0.058824,1634.260,2.170780
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T19:53:10.304879Z,Wvi6ufb,1.000000,796.864,2.312107
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T19:40:23.143197Z,ZJaKpPc,1.000000,1169.627,2.307828
openai/gpt-5.4,codex,xhigh,2026-06-02T19:36:14.596729Z,ZrDntks,0.300000,1015.704,1.516463
openai/gpt-5.5,codex,xhigh,2026-06-02T19:36:14.589658Z,cNQXFfo,1.000000,1076.358,2.488776
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T19:51:15.692070Z,dAT2zot,0.037037,1203.253,1.555910
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T19:52:33.532870Z,e8SBMEo,1.000000,939.847,1.437087
openai/gpt-5.5,codex,xhigh,2026-06-02T19:49:14.417959Z,eUYmb9d,0.153846,728.971,1.893051
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T19:36:14.545290Z,gr7tbHs,0.500000,248.594,0.442985
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T20:06:20.439826Z,gu77qez,0.900000,534.282,0.735426
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T19:40:53.936216Z,hyjdixo,0.071429,1158.949,2.458553
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T19:36:14.584180Z,kTXnD8R,0.900000,279.349,0.321297
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T19:36:14.565707Z,mitrrnh,0.076923,650.960,1.075484
openai/gpt-5.4,codex,xhigh,2026-06-02T20:06:58.191341Z,mraRs8V,0.363636,1076.268,2.212684
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T20:09:11.337922Z,mtL35gF,0.047619,1117.254,2.153958
openai/gpt-5.4,codex,xhigh,2026-06-02T19:49:45.073471Z,nRghiFG,0.538462,1033.113,1.544803
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T19:36:14.576953Z,pTF5zCj,1.000000,1124.805,2.958066
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T19:36:13.253318Z,pW2YEkD,1.000000,421.032,1.323388
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T19:54:10.952218Z,r28gUUE,1.000000,395.695,0.541267
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T20:08:13.387763Z,uLQUsDC,0.000000,1177.700,2.488104
