model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T16:56:35.239130Z,CeFv8T2,0.000000,1578.088,1.810171
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T17:41:19.839021Z,FKDhWCM,0.350877,1666.415,6.584450
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T17:22:53.331768Z,HoinrVt,0.098425,1085.470,2.106708
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T17:54:56.629235Z,HxfDbU3,0.101449,2827.675,5.039743
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T16:56:34.288724Z,JJVSZDH,0.202703,2337.800,6.668693
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T17:26:05.192923Z,KAYV8yQ,0.160714,2283.939,6.190062
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T17:19:32.592452Z,Mk8PP2Y,0.089494,2842.457,3.978046
openai/gpt-5.4,codex,xhigh,2026-06-02T18:01:12.273818Z,Mu9gZGE,0.075949,1340.468,4.096476
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T18:05:06.010986Z,MvSv33G,,245.862,2.398382
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T16:56:35.230519Z,MzF7tTD,0.391892,2192.157,7.185276
openai/gpt-5.4,codex,xhigh,2026-06-02T16:56:35.254189Z,NcvjrBT,0.022321,1319.498,3.486775
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T16:56:35.219558Z,PFSxvjb,0.295129,1769.970,5.436024
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T16:56:35.210947Z,Qt9AXDs,0.144105,1093.282,1.381324
openai/gpt-5.4,codex,xhigh,2026-06-02T16:56:35.203322Z,RmibHGA,0.101266,1349.333,3.159800
openai/gpt-5.4,codex,xhigh,2026-06-02T17:22:27.136127Z,ViTKw3Q,0.634058,1362.297,2.992286
openai/gpt-5.5,codex,xhigh,2026-06-02T17:35:32.093297Z,Wd8hYJ7,0.506329,1438.004,3.936704
openai/gpt-5.5,codex,xhigh,2026-06-02T16:56:35.246651Z,XQNfuzT,0.069106,1551.885,3.785547
openai/gpt-5.5,codex,xhigh,2026-06-02T17:59:30.101718Z,XqZFkx8,0.119403,1203.800,4.177861
openai/gpt-5.5,codex,xhigh,2026-06-02T17:22:24.260713Z,ZSYmVPg,0.050420,1135.574,3.359760
openai/gpt-5.4,codex,xhigh,2026-06-02T17:40:58.806007Z,aKMcekL,0.021552,1732.679,4.720436
openai/gpt-5.5,codex,xhigh,2026-06-02T16:56:35.195388Z,b7TFzVs,0.058091,1377.392,4.151852
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T17:19:04.544463Z,eHbNmCo,0.148649,2152.080,9.415677
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T17:18:34.757324Z,eqwcCDE,,229.499,2.056610
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T16:56:35.187132Z,f7BPbv5,0.025974,3192.913,4.095907
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T17:14:48.496903Z,fJfJZJX,0.059574,1200.035,1.989376
anthropic/claude-sonnet-4-6,claude-code,xhigh,2026-06-02T17:34:48.535440Z,mAY5b4a,0.008772,2852.430,5.250854
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T17:49:48.105116Z,wK4rMNU,0.301802,2459.927,7.969892
google/gemini-3.5-flash,gemini-cli,high,2026-06-02T17:45:09.436447Z,yd9rmrA,0.632035,1196.570,4.688443
google/gemini-3.1-pro-preview,gemini-cli,high,2026-06-02T18:04:09.135545Z,ypMkVFv,0.185950,1422.217,1.967886
anthropic/claude-opus-4-8,claude-code,xhigh,2026-06-02T17:33:07.390485Z,znR3LaX,0.414414,1684.880,5.586400
